id,stage,fixture,valid,invalid_reason,epoch_et,duration_h,k_srp,shadow_model,stations,inc_deg,raan_deg,ecc,period_s,revolutions,beta_start_deg,beta_mid_deg,beta_end_deg,earth_view_start_deg,earth_view_mid_deg,earth_view_end_deg,alt_mean_km,alt_min_km,alt_max_km,sunlit_fraction,eclipse_fraction,penumbra_fraction,mean_illumination,eclipse_entries,eclipse_exits,n_eclipses,mean_eclipse_duration_s,min_eclipse_duration_s,max_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,s_k_pos_norm_end_m,s_k_pos_norm_max_m,n_passes,mean_pass_samples,runtime_s,role,full_n_obs,full_k_column_norm,full_f_perp,full_theta_k_deg,full_raw_k_information,full_conditional_k_information,full_sigma_k,full_sigma_k_frac,full_smallest_design_sv,full_design_condition,full_weakest_mode_k_component,full_max_abs_k_state_correlation,full_rank_margin,matched_n_obs,matched_stage_n_match,matched_f_perp,matched_theta_k_deg,matched_conditional_k_information,matched_sigma_k,matched_sigma_k_frac,matched_k_column_norm,matched_max_abs_k_state_correlation,matched_weakest_mode_k_component,matched_smallest_design_sv,delta_f_perp_full,class_full,delta_f_perp_matched_vs_ref_full,class_matched,beta_target,altitude_nominal_km,normalization,inc_target,partner,counterfactual_of
G1_b80,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,67.608418656,3.7481657299546157e-16,7068.449451451084,14.997899781705652,79.99999999987426,79.40482715914112,78.80936196876118,164.88929807296668,157.11021636683063,149.2375626640494,99.92125291059861,99.79284408384724,100.17152850696468,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0962301018871473,0.09609470840106854,0.8076751897117841,591.9938599494741,591.9938599494741,18,74.38888888888889,9.963729619979858,,1339,436.6851811934251,0.11416101724261833,6.555236185447769,190693.9474739345,2485.264228510105,0.020059204944057236,2.0059204944057236,0.4985242449967022,1259107964.214025,0.9999999999970249,0.4654877343202837,510973.9542790163,955,955,0.1141272865437677,6.553290844399474,1775.3719127985726,0.023733146910700716,2.3733146910700715,369.1944643879839,0.46254003868673965,0.9999999999970857,0.4213516242745749,0.02265346266950817,MARGINAL_DIRECTION_CHANGE_GAIN,0.022619731970657544,MARGINAL_DIRECTION_CHANGE_GAIN,80,,,,,
G1_b88,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,75.60842229,3.514690538966e-16,7068.449451451084,14.997899781705652,87.99999999950063,87.40482554364975,86.80935927265098,172.59642371760893,164.97179523808092,157.14484807046784,99.92122452632005,99.79373375750566,100.17152850696468,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.02729468876055433,0.027255423956742117,0.9454498872827035,132.76400052869303,132.76400052869303,10,151.1,10.894525051116943,,1511,94.21177713757963,0.1394494024468479,8.015986802133623,8875.858951420973,172.60115889071324,0.07611638363105958,7.611638363105957,0.13137776025287318,3618557089.8296394,0.9999999999997069,0.5184941589418067,177797.76838312417,955,955,0.13965635565341128,8.02796152465783,109.38762040156318,0.09561277269290289,9.561277269290288,74.88992273884136,0.517226977923671,0.9999999999997076,0.10458853684868982,0.04794184787373773,MARGINAL_DIRECTION_CHANGE_GAIN,0.04814880108030112,MARGINAL_DIRECTION_CHANGE_GAIN,88,,,,,
G2_alt30_b20_fixD,G2,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417815999999,1.1444864896693908e-16,6667.454377773838,15.899905792877943,19.99999999979373,19.404831361755306,18.809363068339653,105.1276476955742,97.33434072708185,89.46123697912373,29.73840280440983,29.603732212828007,30.000000000000234,0.5572519083969466,0.4410517387616624,0.0033927056827820186,0.5587101606656879,16,16,16,2925.0,2880.0,2970.0,0.3583284737061267,0.4222832943898336,0.21938823190403972,1564.6986902574436,1589.2673088272222,25,34.64,9.516545534133911,,866,1866.0791687075514,0.1019423793909427,5.851032323540949,3482251.463884266,36188.42330394653,0.00525672392500094,0.525672392500094,1.9023255058564417,606282803.8678629,0.9999999999775073,0.5339223482908763,1061173.7150289733,784,784,0.1018156246619931,5.843731826571976,32663.947871611665,0.005533063610587225,0.5533063610587226,1775.0880765749164,0.5388128354331948,0.9999999999759809,1.807317013421884,0.010434824817832533,MAGNITUDE_ONLY,0.010308070088882945,MAGNITUDE_ONLY,20.0,30.0,FIXED_DURATION,,,
G2_alt30_b20_fixN,G2,CONSISTENT,True,,857806356.99998,27.78105990739098,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417815999999,1.1444864896693908e-16,6667.454377773838,14.999999999999993,19.99999999979373,19.438181399706956,18.877123757105164,105.1276476955742,97.77309947991264,90.36079527669737,29.73983926658952,29.604154342943104,30.000000000000234,0.560251798561151,0.4379496402877698,0.0035971223021582736,0.5617979131518399,15,15,15,2922.0,2880.0,2970.0,0.36068706479367385,0.41955544588289956,0.21975748932342654,1589.2673088272222,1589.2673088272222,23,34.08695652173913,8.718266487121582,,784,1622.696865626963,0.10333098575372138,5.931016015214548,2633145.11771557,28114.86092444161,0.005963923035412825,0.5963923035412825,1.6767486670087595,597233051.3495766,0.9999999999771289,0.5240139330930562,1077253.4672768132,784,784,0.10333098575372138,5.931016015214548,28114.86092444161,0.005963923035412825,0.5963923035412825,1622.696865626963,0.5240139330930562,0.9999999999771289,1.6767486670087595,0.011823431180611216,MAGNITUDE_ONLY,0.011823431180611216,MAGNITUDE_ONLY,20.0,30.0,FIXED_REVOLUTIONS,,,
G2_alt30_b85_fixD,G2,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,72.608419567,2.2936375634436873e-16,6667.454377773834,15.899905792877954,84.99999999950793,84.40483007779484,83.8093605373083,169.75816129329036,162.03752082415232,154.18582426926977,29.73832117956087,29.606556094948434,29.999999999999766,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.05529297284290375,0.05562338319040956,0.8890836439666867,267.3261321275644,271.19396009948036,25,45.36,8.891926050186157,,1134,162.54577798207706,0.10367587771941553,5.950883576091116,26421.129939798688,283.99247231387204,0.05933986934432548,5.933986934432548,0.16852076201857472,2978002465.579211,0.9999999999988393,0.6204650180466997,216041.2500576989,784,784,0.1036238072652389,5.94788400267607,197.39631280234025,0.07117549266167378,7.117549266167377,135.58447796983833,0.6178387904489564,0.9999999999988561,0.1404977981328861,0.012168323146305365,MAGNITUDE_ONLY,0.012116252692128737,MAGNITUDE_ONLY,85.0,30.0,FIXED_DURATION,,,
G2_alt50_b20_fixD,G2,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417815999999,2.8803210838868514e-17,6780.94789272717,15.63378721706703,19.99999999979373,19.40483105496302,18.809362485719713,105.1276476955742,97.33434040496736,89.46123639354663,49.74159200804405,49.60776755346428,50.000000000000234,0.5742154368108566,0.4257845631891433,0.0,0.5742154368108566,16,15,16,2823.75,2430.0,2880.0,0.353452590507009,0.42680162241746805,0.21974578707552295,477.1215085285071,1714.8732115068576,24,37.541666666666664,9.607909202575684,,901,2001.8687089724758,0.1055354317670922,6.058015942654509,4007478.3279631273,44634.2010110153,0.004733322738101663,0.4733322738101663,2.1126807853881013,548168416.1483543,0.9999999999827976,0.4832467029177525,1173674.6525077478,784,784,0.10533408780902472,6.046415123216742,38679.2072390924,0.0050846518037732935,0.5084651803773294,1867.1097357708336,0.4910443612956957,0.99999999998278,1.9667030085338097,0.014027877193982033,MAGNITUDE_ONLY,0.013826533235914554,MAGNITUDE_ONLY,20.0,50.0,FIXED_DURATION,,,
G2_alt50_b20_fixN,G2,CONSISTENT,True,,857806356.99998,28.253949553029884,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417815999999,2.8803210838868514e-17,6780.94789272717,15.000000000000004,19.99999999979373,19.429085804536857,18.85790884766058,105.1276476955742,97.65346265148335,90.10579967933988,49.74277171293383,49.60828378027235,50.000000000000234,0.5800176834659593,0.41998231653404067,0.0,0.5800176834659593,15,15,15,2850.0,2790.0,2880.0,0.3535407568639452,0.42651299986989905,0.21994624326615567,1714.8732115068576,1714.8732115068576,22,38.04545454545455,9.183109760284424,,837,1873.1267886091662,0.10392114445648325,5.965012645365845,3508603.9662052877,37891.534358136196,0.00513722874731157,0.513722874731157,1.9465747958146258,546952523.4683901,0.9999999999851046,0.47946768738264334,1176283.7682123329,784,784,0.1039723708050245,5.967963685123818,35620.78681857361,0.005298442747005809,0.5298442747005809,1815.2389726251176,0.47969060546261927,0.9999999999850226,1.887346995586827,0.012413589883373086,MAGNITUDE_ONLY,0.012464816231914339,MAGNITUDE_ONLY,20.0,50.0,FIXED_REVOLUTIONS,,,
G2_alt50_b85_fixD,G2,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,72.60841956699998,3.3833037284002385e-16,6780.947892727167,15.633787217067038,84.99999999950793,84.40482915413332,83.8093580010672,169.75816129329036,162.03751971387427,154.18582170946007,49.74155901094434,49.610884480260545,50.0,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.05566798519747714,0.05523768282432596,0.8890943319781969,74.08894105036407,280.7557280481971,21,60.714285714285715,9.56380033493042,,1275,166.10592175718577,0.11206246822469398,6.434221521350648,27591.177242804322,346.4899150987564,0.05372231273612247,5.372231273612247,0.1861423957882303,2714888300.3705406,0.9999999999986394,0.625204452866639,236978.94872906266,784,784,0.1116056794935591,6.40788423811971,211.57317823419527,0.06874952390268452,6.874952390268452,130.32988410789972,0.6263544173946223,0.9999999999986269,0.14545555274159203,0.020554913651583823,MARGINAL_DIRECTION_CHANGE_GAIN,0.020098124920448934,MARGINAL_DIRECTION_CHANGE_GAIN,85.0,50.0,FIXED_DURATION,,,
G2_alt100_b20_fixD,G2,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417816000001,3.3766252644563744e-16,7068.449451451084,14.997899781705652,19.99999999979373,19.40483057924385,18.809363202188162,105.1276476955742,97.33433993973239,89.46123709776415,99.92134529214248,99.78993929723627,100.17152850696515,0.6115351993214588,0.38761662425784565,0.0016963528413910093,0.612673167066618,15,15,15,2742.0,2700.0,2790.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,1998.3812822120342,1998.3812822120342,22,43.45454545454545,9.63184928894043,,956,2514.3033902231577,0.10563837829087859,6.063947500927083,6321721.538087665,70547.04268472051,0.0037649619681642188,0.3764961968164219,2.6560693266621866,452893573.23490125,0.9999999999690675,0.4786319554011142,1420579.609340021,784,784,0.10535076446273275,6.0473759712417126,57572.93182229403,0.0041676460402788424,0.41676460402788423,2277.568677931192,0.4771940599824349,0.9999999999760113,2.3994360133066976,0.014130823717768429,MAGNITUDE_ONLY,0.013843209889622593,MAGNITUDE_ONLY,20.0,100.1715285069649,FIXED_DURATION,,,
G2_alt100_b20_fixN,G2,CONSISTENT,True,,857806356.99998,29.45187271437954,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417816000001,3.3766252644563744e-16,7068.449451451084,15.000000000000012,19.99999999979373,19.40483057924385,18.809363202188162,105.1276476955742,97.33433993973239,89.46123709776415,99.92134529214248,99.78993929723627,100.17152850696515,0.6115351993214588,0.38761662425784565,0.0016963528413910093,0.612673167066618,15,15,15,2742.0,2700.0,2790.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,1998.3812822120342,1998.3812822120342,22,43.45454545454545,9.673556327819824,,956,2514.3033902231577,0.10563837829087859,6.063947500927083,6321721.538087665,70547.04268472051,0.0037649619681642188,0.3764961968164219,2.6560693266621866,452893573.23490125,0.9999999999690675,0.4786319554011142,1420579.609340021,784,784,0.10535076446273275,6.0473759712417126,57572.93182229403,0.0041676460402788424,0.41676460402788423,2277.568677931192,0.4771940599824349,0.9999999999760113,2.3994360133066976,0.014130823717768429,MAGNITUDE_ONLY,0.013843209889622593,MAGNITUDE_ONLY,20.0,100.1715285069649,FIXED_REVOLUTIONS,,,
