case,t_h,R,T,N,nu
G1_b88,0.3,-0.09292325988360738,0.13342138196226688,-4.628865368535092,1.0
G1_b88,0.4,-0.04632331574670975,0.15621029072309162,-4.628839292881062,1.0
G1_b88,0.5,0.00518485241200126,0.16319590415981078,-4.628812993929378,1.0
G1_b88,0.6,0.05638028182871075,0.15360177767089597,-4.628786665954358,1.0
G1_b88,0.7,0.10205113356415442,0.128334882803949,-4.628760502852755,1.0
G1_b88,0.8,0.1375247312386345,0.08990160844853444,-4.628734678501132,1.0
G1_b88,0.9,0.15914623575542045,0.04216068244136029,-4.6287093289652415,1.0
G1_b88,1.0,0.16465670135378965,-0.010063654950007979,-4.62868453838128,1.0
G1_b88,1.1,0.15343044557516095,-0.061469946855054136,-4.628660330052329,1.0
G1_b88,1.2,0.12654577641929748,-0.10681941105469982,-4.628636663793961,1.0
G1_b88,1.3,0.08668083338439996,-0.14147133815294471,-4.628613439858096,1.0
G1_b88,1.4,0.03784521007146133,-0.16185831811086723,-4.628590508994091,1.0
G1_b88,1.5,-0.015024633083864841,-0.16585250320263548,-4.628567687533698,1.0
G1_b88,1.6,-0.06656456411444657,-0.15298605329814863,-4.6285447759184,1.0
G1_b88,1.7,-0.11152618577760134,-0.12450393944467708,-4.6285215788311485,1.0
G1_b88,1.8,-0.14531017344305136,-0.08324371426647989,-4.628497924992283,1.0
G1_b88,1.9,-0.16443612260781537,-0.03335355107939308,-4.628473684685738,1.0
G1_b88,2.0,-0.16690109697753017,0.02012414015408613,-4.6284487832160774,1.0
G1_b88,2.1,-0.15238951923136007,0.07176218546039312,-4.628423208823435,1.0
G1_b88,2.2,-0.12231189799617855,0.11629958722111639,-4.628397014139181,1.0
G1_b88,2.3,-0.07966769722857736,0.14917748830536112,-4.62837031099554,1.0
G1_b88,2.4,-0.02874610863184611,0.16700526140819305,-4.628343259166844,1.0
G1_b88,2.5,0.025304900331008427,0.16790937735347197,-4.628316050263117,1.0
G1_b88,2.6,0.076997953244123,0.15172987031636867,-4.628288888430872,1.0
G1_b88,2.7,0.12106231463311462,0.12004429090134972,-4.628261969750346,1.0
